PORT     STATE SERVICE            REASON
6828/tcp open  unknown            syn-ack
6829/tcp open  unknown            syn-ack
6830/tcp open  unknown            syn-ack
6831/tcp open  ambit-lm           syn-ack
6832/tcp open  unknown            syn-ack
6833/tcp open  unknown            syn-ack
6834/tcp open  unknown            syn-ack
6835/tcp open  unknown            syn-ack
6836/tcp open  unknown            syn-ack
6837/tcp open  unknown            syn-ack
6838/tcp open  unknown            syn-ack
6839/tcp open  unknown            syn-ack
6840/tcp open  unknown            syn-ack
6841/tcp open  netmo-default      syn-ack
6842/tcp open  netmo-http         syn-ack
6843/tcp open  unknown            syn-ack
6844/tcp open  unknown            syn-ack
6845/tcp open  unknown            syn-ack
6846/tcp open  unknown            syn-ack
6847/tcp open  unknown            syn-ack
6848/tcp open  unknown            syn-ack
6849/tcp open  unknown            syn-ack
6850/tcp open  iccrushmore        syn-ack
6851/tcp open  unknown            syn-ack
6852/tcp open  unknown            syn-ack
6853/tcp open  unknown            syn-ack
6854/tcp open  unknown            syn-ack
6855/tcp open  unknown            syn-ack
6856/tcp open  unknown            syn-ack
6857/tcp open  unknown            syn-ack
6858/tcp open  unknown            syn-ack
6859/tcp open  unknown            syn-ack
6860/tcp open  unknown            syn-ack
6861/tcp open  unknown            syn-ack
6862/tcp open  unknown            syn-ack
6863/tcp open  unknown            syn-ack
6864/tcp open  unknown            syn-ack
6865/tcp open  unknown            syn-ack
6866/tcp open  unknown            syn-ack
6867/tcp open  unknown            syn-ack
6868/tcp open  acctopus-cc        syn-ack
6869/tcp open  unknown            syn-ack
6870/tcp open  unknown            syn-ack
6871/tcp open  unknown            syn-ack
6872/tcp open  unknown            syn-ack
6873/tcp open  unknown            syn-ack
6874/tcp open  unknown            syn-ack
6875/tcp open  unknown            syn-ack
6876/tcp open  unknown            syn-ack
6877/tcp open  unknown            syn-ack
6878/tcp open  unknown            syn-ack
6879/tcp open  unknown            syn-ack
6880/tcp open  unknown            syn-ack
6881/tcp open  bittorrent-tracker syn-ack
6882/tcp open  unknown            syn-ack
6883/tcp open  unknown            syn-ack
6884/tcp open  unknown            syn-ack
6885/tcp open  unknown            syn-ack
6886/tcp open  unknown            syn-ack
6887/tcp open  unknown            syn-ack
6888/tcp open  muse               syn-ack
6889/tcp open  unknown            syn-ack
6890/tcp open  unknown            syn-ack
6891/tcp open  unknown            syn-ack
6892/tcp open  unknown            syn-ack
6893/tcp open  unknown            syn-ack
6894/tcp open  unknown            syn-ack
6895/tcp open  unknown            syn-ack
6896/tcp open  unknown            syn-ack
6897/tcp open  unknown            syn-ack
6898/tcp open  unknown            syn-ack
6899/tcp open  unknown            syn-ack
6900/tcp open  rtimeviewer        syn-ack
6901/tcp open  jetstream          syn-ack
6902/tcp open  unknown            syn-ack
6903/tcp open  unknown            syn-ack
6904/tcp open  unknown            syn-ack
6905/tcp open  unknown            syn-ack
6906/tcp open  unknown            syn-ack
6907/tcp open  unknown            syn-ack
6908/tcp open  unknown            syn-ack
6909/tcp open  unknown            syn-ack
6910/tcp open  unknown            syn-ack
